,ProdDate,Actual_kWh,Production1,Production2,Feed,Weekday,BRP,check_feed
104,2019-04-15,192462.0,0.0,16892.0,15695.552424793652,Monday,BL,False
105,2019-04-16,119163.0,0.0,7304.0,6107.552424793651,Tuesday,BL,False
106,2019-04-17,199378.0,0.0,19053.0,17856.552424793652,Wednesday,BL,False
107,2019-04-18,92295.0,0.0,3204.0,2007.5524247936512,Thursday,BL,False
112,2019-04-23,125793.0,0.0,3245.0,2048.552424793651,Tuesday,BL,False
113,2019-04-24,193140.0,0.0,14077.0,12880.552424793652,Wednesday,BL,False
114,2019-04-25,201588.0,0.0,19337.0,18140.55242479365,Thursday,BL,False
115,2019-04-26,128743.0,0.0,5303.0,4106.552424793651,Friday,BL,False
116,2019-04-27,151125.0,0.0,9595.0,8398.552424793652,Saturday,BL,False
118,2019-04-29,167601.0,0.0,10729.0,9532.552424793652,Monday,BL,False
119,2019-04-30,191489.0,0.0,15406.0,14209.552424793652,Tuesday,BL,False
120,2019-05-01,187227.0,0.0,16484.0,15287.552424793652,Wednesday,BL,False
121,2019-05-02,128903.0,0.0,6969.0,5772.552424793651,Thursday,BL,False
122,2019-05-03,167064.0,0.0,12237.0,11040.552424793652,Friday,BL,False
123,2019-05-04,111106.0,0.0,5513.0,4316.552424793651,Saturday,BL,False
125,2019-05-06,178038.0,0.0,14216.0,13019.552424793652,Monday,BL,False
126,2019-05-07,160400.0,0.0,10892.0,9695.552424793652,Tuesday,BL,False
128,2019-05-09,149473.0,0.0,10581.0,9384.552424793652,Thursday,BL,False
129,2019-05-10,199643.0,0.0,16974.0,15777.552424793652,Friday,BL,False
132,2019-05-13,172001.0,0.0,11354.0,10157.552424793652,Monday,BL,False
134,2019-05-15,183296.0,0.0,12403.0,11206.552424793652,Wednesday,BL,False
135,2019-05-16,132988.0,0.0,7838.0,6641.552424793651,Thursday,BL,False
136,2019-05-17,172470.0,0.0,11275.0,10078.552424793652,Friday,BL,False
137,2019-05-18,196437.0,0.0,19216.0,18019.55242479365,Saturday,BL,False
139,2019-05-20,114804.0,0.0,2913.0,1716.5524247936512,Monday,BL,False
