,DateOnly,Actual_kWh,Production1,Production2,Feed
94,2019-04-05,203117.0,0.0,19010.0,17813.552424793652
95,2019-04-06,142959.0,0.0,10051.0,8854.552424793652
96,2019-04-07,42022.0,0.0,,0.0
97,2019-04-08,198382.0,0.0,16881.0,15684.552424793652
98,2019-04-09,156158.0,0.0,10143.0,8946.552424793652
99,2019-04-10,211401.0,0.0,19605.0,18408.552424793652
100,2019-04-11,142626.0,0.0,10116.0,8919.552424793652
101,2019-04-12,196971.0,0.0,16749.0,15552.552424793652
102,2019-04-13,172112.0,0.0,13486.0,12289.552424793652
103,2019-04-14,41969.0,0.0,,0.0
104,2019-04-15,192462.0,0.0,16892.0,15695.552424793652
105,2019-04-16,119163.0,0.0,7304.0,6107.552424793651
106,2019-04-17,199378.0,0.0,19053.0,17856.552424793652
107,2019-04-18,92295.0,0.0,3204.0,2007.5524247936512
108,2019-04-19,36434.0,0.0,0.0,0.0
109,2019-04-20,39619.0,0.0,5901.0,4704.552424793651
110,2019-04-21,29472.0,0.0,,0.0
111,2019-04-22,198382.0,0.0,0.0,0.0
112,2019-04-23,125793.0,0.0,3245.0,2048.552424793651
113,2019-04-24,193140.0,0.0,14077.0,12880.552424793652
114,2019-04-25,201588.0,0.0,19337.0,18140.552424793652
115,2019-04-26,128743.0,0.0,5303.0,4106.552424793651
116,2019-04-27,151125.0,0.0,9595.0,8398.552424793652
117,2019-04-28,37054.0,0.0,,0.0
118,2019-04-29,167601.0,0.0,10729.0,9532.552424793652
119,2019-04-30,191489.0,0.0,15406.0,14209.552424793652
120,2019-05-01,187227.0,0.0,16484.0,15287.552424793652
121,2019-05-02,128903.0,0.0,6969.0,5772.552424793651
122,2019-05-03,167064.0,0.0,12237.0,11040.552424793652
123,2019-05-04,111106.0,0.0,5513.0,4316.552424793651
124,2019-05-05,42016.0,0.0,,0.0
125,2019-05-06,178038.0,0.0,14216.0,13019.552424793652
126,2019-05-07,160400.0,0.0,10892.0,9695.552424793652
127,2019-05-08,32271.0,0.0,0.0,0.0
128,2019-05-09,149473.0,0.0,10581.0,9384.552424793652
129,2019-05-10,199643.0,0.0,16974.0,15777.552424793652
130,2019-05-11,201470.0,0.0,22816.0,21619.552424793652
131,2019-05-12,88202.0,0.0,,0.0
132,2019-05-13,172001.0,0.0,11354.0,10157.552424793652
133,2019-05-14,192569.0,0.0,27488.0,0.0
134,2019-05-15,183296.0,0.0,12403.0,11206.552424793652
135,2019-05-16,132988.0,0.0,7838.0,6641.552424793651
136,2019-05-17,172470.0,0.0,11275.0,10078.552424793652
137,2019-05-18,196437.0,0.0,19216.0,18019.552424793652
138,2019-05-19,96971.0,0.0,,0.0
139,2019-05-20,114804.0,0.0,2913.0,1716.5524247936512
140,2019-05-21,206809.0,0.0,16229.0,15032.552424793652
141,2019-05-22,131485.0,0.0,5829.0,4632.552424793651
142,2019-05-23,159277.0,0.0,10456.0,9259.552424793652
143,2019-05-24,197081.0,0.0,14450.0,13253.552424793652
144,2019-05-25,210016.0,0.0,25035.0,0.0
145,2019-05-26,99895.0,0.0,,0.0
146,2019-05-27,213607.0,0.0,18132.0,16935.552424793652
147,2019-05-28,189441.0,0.0,35043.0,0.0
148,2019-05-29,117333.0,0.0,5632.241246,4435.793670793651
149,2019-05-30,195803.0,0.0,17070.6883,15874.240724793653
150,2019-05-31,221579.0,0.0,21287.9439,20091.49632479365
151,2019-06-01,155903.0,0.0,9897.143185,8700.695609793653
152,2019-06-02,46324.0,0.0,,0.0
153,2019-06-03,202943.0,0.0,18930.00383,17733.556254793653
154,2019-06-04,224668.0,0.0,19830.85217,18634.40459479365
155,2019-06-05,199352.0,5046.6075710000005,15675.64763,14479.200054793651
156,2019-06-06,146221.0,8614.953518499999,9231.202405,8614.953518499999
