,DateOnly,Actual-kWh,DOW1,DOW2,Flag
143,2019-05-24,100529.5,5,Friday,0
144,2019-05-25,105292,6,Saturday,0
145,2019-05-26,47626.5,7,Sunday,0
146,2019-05-27,108907,1,Monday,0
147,2019-05-28,93457.5,2,Tuesday,0
148,2019-05-29,59513,3,Wednesday,0
149,2019-05-30,99069,4,Thursday,0
150,2019-05-31,108655.5,5,Friday,0
151,2019-06-01,74637.5,6,Saturday,0
152,2019-06-02,24521.5,7,Sunday,0
153,2019-06-03,105226,1,Monday,0
154,2019-06-04,112633,2,Tuesday,0
155,2019-06-05,99104.5,3,Wednesday,0
156,2019-06-06,73470.5,4,Thursday,0
157,2019-06-07,110353,5,Friday,0
158,2019-06-08,102263.5,6,Saturday,0
159,2019-06-09,46441,7,Sunday,0
160,2019-06-10,112327.5,1,Monday,0
161,2019-06-11,93241,2,Tuesday,0
162,2019-06-12,112034,3,Wednesday,0
163,2019-06-13,82154,4,Thursday,0
164,2019-06-14,107988,5,Friday,0
165,2019-06-15,103869,6,Saturday,0
166,2019-06-16,27900.5,7,Sunday,0
167,2019-06-17,104091.5,1,Monday,0
168,2019-06-18,103117.5,2,Tuesday,0
169,2019-06-19,112256,3,Wednesday,0
170,2019-06-20,84107.5,4,Thursday,0
171,2019-06-21,101894,5,Friday,0
172,2019-06-22,95033,6,Saturday,0
173,2019-06-23,27571.5,7,Sunday,0
174,2019-06-24,104489,1,Monday,0
175,2019-06-25,106901,2,Tuesday,0
176,2019-06-26,103574,3,Wednesday,0
177,2019-06-27,84216,4,Thursday,0
178,2019-06-28,94839.5,5,Friday,0
179,2019-06-29,56213,6,Saturday,0
180,2019-06-30,25920.5,7,Sunday,0
181,2019-07-01,103077.5,1,Monday,0
182,2019-07-02,100672.5,2,Tuesday,0
183,2019-07-03,103213,3,Wednesday,0
184,2019-07-04,76335.5,4,Thursday,0
185,2019-07-05,105765.5,5,Friday,0
186,2019-07-06,52335,6,Saturday,0
187,2019-07-07,23292.5,7,Sunday,0
188,2019-07-08,92005,1,Monday,0
189,2019-07-09,95588,2,Tuesday,0
190,2019-07-10,97598,3,Wednesday,0
191,2019-07-11,59364,4,Thursday,0
192,2019-07-12,96633.5,5,Friday,0
193,2019-07-13,99447.5,6,Saturday,0
194,2019-07-14,27421,7,Sunday,0
195,2019-07-15,101560.5,1,Monday,0
196,2019-07-16,103188.5,2,Tuesday,0
197,2019-07-17,100616,3,Wednesday,0
198,2019-07-18,54291.5,4,Thursday,0
199,2019-07-19,87346.5,5,Friday,0
200,2019-07-20,85418.5,6,Saturday,0
201,2019-07-21,27001.5,7,Sunday,0
202,2019-07-22,92294.5,1,Monday,0
203,2019-07-23,90931.5,2,Tuesday,0
204,2019-07-24,99504,3,Wednesday,0
205,2019-07-25,62979.5,4,Thursday,0
206,2019-07-26,95356,5,Friday,0
207,2019-07-27,94234.5,6,Saturday,0
208,2019-07-28,27427.5,7,Sunday,0
209,2019-07-29,107373.5,1,Monday,0
210,2019-07-30,88711,2,Tuesday,0
211,2019-07-31,105034,3,Wednesday,0
212,2019-08-01,84123,4,Thursday,0
213,2019-08-02,91649.5,5,Friday,0
214,2019-08-03,57819.5,6,Saturday,0
215,2019-08-04,26995,7,Sunday,0
216,2019-08-05,110497.5,1,Monday,0
217,2019-08-06,103844,2,Tuesday,0
218,2019-08-07,110921,3,Wednesday,0
219,2019-08-08,80205,4,Thursday,0
220,2019-08-09,101423.5,5,Friday,0
221,2019-08-10,98862.5,6,Saturday,0
222,2019-08-11,26045,7,Sunday,0
223,2019-08-12,98808,1,Monday,0
224,2019-08-13,102921,2,Tuesday,0
225,2019-08-14,109160,3,Wednesday,0
226,2019-08-15,73768.5,4,Thursday,0
227,2019-08-16,105716,5,Friday,0
228,2019-08-17,102741,6,Saturday,0
229,2019-08-18,27119.5,7,Sunday,0
230,2019-08-19,95686.5,1,Monday,0
231,2019-08-20,105249.5,2,Tuesday,0
232,2019-08-21,106240,3,Wednesday,0
233,2019-08-22,82844.5,4,Thursday,0
234,2019-08-23,94008,5,Friday,0
235,2019-08-24,88044,6,Saturday,0
236,2019-08-25,25233.5,7,Sunday,0
237,2019-08-26,109859.5,1,Monday,0
238,2019-08-27,107010,2,Tuesday,0
239,2019-08-28,88542,3,Wednesday,0
240,2019-08-29,62288.5,4,Thursday,0
241,2019-08-30,103543,5,Friday,0
242,2019-08-31,83280.5,6,Saturday,0
243,2019-09-01,26672.5,7,Sunday,0
244,2019-09-02,106056,1,Monday,0
245,2019-09-03,102132,2,Tuesday,0
246,2019-09-04,107703,3,Wednesday,0
247,2019-09-05,79086,4,Thursday,0
248,2019-09-06,97252,5,Friday,0
249,2019-09-07,59301.5,6,Saturday,0
250,2019-09-08,28931,7,Sunday,0
251,2019-09-09,110009,1,Monday,0
252,2019-09-10,106153.5,2,Tuesday,0
253,2019-09-11,66067.5,3,Wednesday,0
254,2019-09-12,35511,4,Thursday,0
255,2019-09-13,97425.5,5,Friday,0
256,2019-09-14,103087,6,Saturday,0
