,DateOnly,Actual-kWh,DOW1,DOW2,Flag
630,2020-09-22,80683.5,2,Tuesday,0
631,2020-09-23,60091,3,Wednesday,0
632,2020-09-24,103500.5,4,Thursday,0
633,2020-09-25,105140,5,Friday,0
634,2020-09-26,76893,6,Saturday,0
635,2020-09-27,28822.5,7,Sunday,0
636,2020-09-28,107433,1,Monday,0
637,2020-09-29,102603,2,Tuesday,0
638,2020-09-30,57375,3,Wednesday,0
639,2020-10-01,59282,4,Thursday,0
640,2020-10-02,108183.5,5,Friday,0
641,2020-10-03,75027.5,6,Saturday,0
642,2020-10-04,28263.5,7,Sunday,0
643,2020-10-05,99538.5,1,Monday,0
644,2020-10-06,96736.5,2,Tuesday,0
645,2020-10-07,28740,3,Wednesday,0
646,2020-10-08,71972.5,4,Thursday,0
647,2020-10-09,106040.5,5,Friday,0
648,2020-10-10,104056,6,Saturday,0
649,2020-10-11,35257,7,Sunday,0
650,2020-10-12,110641,1,Monday,0
651,2020-10-13,103354.5,2,Tuesday,0
652,2020-10-14,49261,3,Wednesday,0
653,2020-10-15,102101,4,Thursday,0
654,2020-10-16,38996.5,5,Friday,0
655,2020-10-17,100772,6,Saturday,0
656,2020-10-18,30756,7,Sunday,0
657,2020-10-19,104286.5,1,Monday,0
658,2020-10-20,83042,2,Tuesday,0
659,2020-10-21,98010,3,Wednesday,0
660,2020-10-22,76776,4,Thursday,0
661,2020-10-23,110034,5,Friday,0
662,2020-10-24,78839.5,6,Saturday,0
663,2020-10-25,31598,7,Sunday,0
664,2020-10-26,107134.5,1,Monday,0
665,2020-10-27,106483,2,Tuesday,0
666,2020-10-28,108008.5,3,Wednesday,0
667,2020-10-29,68608,4,Thursday,0
668,2020-10-30,106077,5,Friday,0
669,2020-10-31,77331,6,Saturday,0
670,2020-11-01,28264,7,Sunday,0
671,2020-11-02,106728.5,1,Monday,0
672,2020-11-03,107406,2,Tuesday,0
673,2020-11-04,104225,3,Wednesday,0
674,2020-11-05,72502.5,4,Thursday,0
675,2020-11-06,105198,5,Friday,0
676,2020-11-07,101658,6,Saturday,0
677,2020-11-08,28531.5,7,Sunday,0
678,2020-11-09,108805.5,1,Monday,0
679,2020-11-10,68359,2,Tuesday,0
680,2020-11-11,30088,3,Wednesday,0
681,2020-11-12,57886,4,Thursday,0
682,2020-11-13,103743.5,5,Friday,0
683,2020-11-14,94804.5,6,Saturday,0
684,2020-11-15,23717.5,7,Sunday,0
685,2020-11-16,99851,1,Monday,0
686,2020-11-17,102297,2,Tuesday,0
687,2020-11-18,103695.5,3,Wednesday,0
688,2020-11-19,69071,4,Thursday,0
689,2020-11-20,103873.5,5,Friday,0
690,2020-11-21,101658,6,Saturday,0
691,2020-11-22,25569.5,7,Sunday,0
692,2020-11-23,28840,1,Monday,0
693,2020-11-24,96645.5,2,Tuesday,0
694,2020-11-25,87817,3,Wednesday,0
695,2020-11-26,105257.5,4,Thursday,0
696,2020-11-27,84828,5,Friday,0
697,2020-11-28,70604.5,6,Saturday,0
698,2020-11-29,10994.5,7,Sunday,0
699,2020-11-30,39867,1,Monday,0
700,2020-12-01,36337.5,2,Tuesday,0
701,2020-12-02,100380.5,3,Wednesday,0
702,2020-12-03,60379,4,Thursday,0
703,2020-12-04,89277,5,Friday,0
704,2020-12-05,100840.5,6,Saturday,0
705,2020-12-06,50934,7,Sunday,0
706,2020-12-07,100648,1,Monday,0
707,2020-12-08,88742,2,Tuesday,0
708,2020-12-09,83804.5,3,Wednesday,0
709,2020-12-10,56900.5,4,Thursday,0
710,2020-12-11,99157,5,Friday,0
711,2020-12-12,76350,6,Saturday,0
712,2020-12-13,22325,7,Sunday,0
713,2020-12-14,98329.5,1,Monday,0
714,2020-12-15,101696.5,2,Tuesday,0
715,2020-12-16,84499,3,Wednesday,10
716,2020-12-17,21256.5,4,Thursday,16
717,2020-12-18,31655,5,Friday,0
718,2020-12-19,27524.5,6,Saturday,0
719,2020-12-20,18302,7,Sunday,11
720,2020-12-21,103016,1,Monday,0
721,2020-12-22,98608,2,Tuesday,0
722,2020-12-23,96450.5,3,Wednesday,0
723,2020-12-24,74093.5,4,Thursday,0
724,2020-12-25,16454,5,Friday,0
725,2020-12-26,19876,6,Saturday,0
726,2020-12-27,12884.5,7,Sunday,12
727,2020-12-28,53995.5,1,Monday,0
728,2020-12-29,91583.5,2,Tuesday,0
729,2020-12-30,97441,3,Wednesday,0
